#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Description
16,Pidgey,Normal,Volador,251,40,45,40,35,35,56,1,"Muy común en bosques y selvas. Aletea al nivel del
suelo para levantar la gravilla."
17,Pidgeotto,Normal,Volador,349,63,60,55,50,50,71,1,"Tiene unas garras desarrolladas. Puede atrapar un
Exeggcute y transportarlo desde una distancia de
casi 100 km."
18,Pidgeot,Normal,Volador,479,83,80,75,70,70,101,1,"Cuando caza, vuela muy deprisa a ras del agua y
sorprende a inocentes presas como Magikarp."
19,Rattata,Normal,,253,30,56,35,25,35,72,1,"Vive allí donde haya comida disponible. Busca todo
el día, sin descanso, algo comestible."
20,Raticate,Normal,,413,55,81,60,50,70,97,1,"Lima sus colmillos royendo objetos duros. Con ellos
puede destruir incluso paredes de hormigón."
21,Spearow,Normal,Volador,262,40,60,30,31,31,70,1,"Muy protector de su territorio, mueve sus cortas alas
sin descanso para lanzarse a toda velocidad."
22,Fearow,Normal,Volador,442,65,90,65,61,61,100,1,"Con sus enormes y magníficas alas, puede seguir
volando sin tener que aterrizar para descansar."
23,Ekans,Veneno,,288,35,60,44,40,54,55,1,"Cuanto más viejo, más crece este Pokémon. Por la
noche, descansa en las ramas de los árboles."
24,Arbok,Veneno,,438,60,85,69,65,79,80,1,"El dibujo que tiene en la panza aterroriza. Los rivales
más débiles salen huyendo al verlo."
25,Pikachu,Electrico,,320,35,55,40,50,50,90,1,"Levanta su cola para vigilar los alrededores. A veces,
puede ser alcanzado por un rayo en esa pose."
26,Raichu,Electrico,,485,60,90,55,90,80,110,1,"Cuando se carga de electricidad, sus músculos se
tensan y se vuelve más agresivo de lo normal."
27,Sandshrew,Tierra,,300,50,75,85,20,30,40,1,"Este Pokémon permanece bajo tierra. Si se siente
amenazado, se enrosca para defenderse."
28,Sandslash,Tierra,,450,75,100,110,45,55,65,1,"Si cava a gran velocidad, puede que se le caigan las
garras y púas. Vuelven a crecerle en un día."
29,NidoranF,Veneno,,275,55,47,52,40,40,41,1,"Aunque pequeñas, sus venenosas púas son muy
peligrosas. Tienen un cuerno más pequeño que
los machos."
30,Nidorina,Veneno,,365,70,62,67,55,55,56,1,"Tiene un carácter afable. Emite ondas ultrasónicas
para confundir al enemigo."
31,Nidoqueen,Veneno,Tierra,505,90,92,87,75,85,76,1,"Usa su cuerpo duro y escamoso para sellar la entrada
a su madriguera y protegerse de los depredadores."
32,NidoranM,Veneno,,273,46,57,40,40,40,50,1,"Saca las orejas por encima de la hierba para explorar
el territorio. Le protege su cuerno venenoso."
33,Nidorino,Veneno,,365,61,72,57,55,55,65,1,"Levanta sus grandes orejas para vigilar. Si detecta
algo, atacará de inmediato."
34,Nidoking,Veneno,Tierra,505,81,102,77,85,75,85,1,"Es fácil reconocerlo por tener una dura piel y un gran
cuerno lleno de peligrosísimo veneno."
35,Clefairy,Hada,,323,70,45,48,60,65,35,1,"Se dice que la felicidad llegará a quien vea a un grupo
de Clefairy bailando a la luz de la luna llena."
36,Clefable,Hada,,483,95,70,73,95,90,60,1,"Su oído es tan agudo que puede oír una aguja caer a
1 km. Vive en montañas solitarias."
37,Vulpix,Fuego,,299,38,41,40,50,65,65,1,"Cuando nace solo tiene una cola, pero a medida que
crece, esta se va dividiendo desde la punta."
38,Ninetales,Fuego,,505,73,76,75,81,100,100,1,"Tiene nueve colas y un pelaje de color dorado.
Dicen que este Pokémon llega a vivir 1000 años."
39,Jigglypuff,Normal,Hada,270,115,45,20,45,25,20,1,"Cautiva con la mirada a su enemigo y hace que se
quede profundamente dormido mientras entona una
dulce melodía."
40,Wigglytuff,Normal,Hada,435,140,70,45,85,50,45,1,"Su piel es tan suave que si dos de ellos se acurrucan
juntos, no querrán separarse nunca."
41,Zubat,Veneno,Volador,245,40,45,35,30,40,55,1,"Aunque carezca de ojos, puede detectar obstáculos
con las ondas ultrasónicas que emite su boca."
42,Golbat,Veneno,Volador,455,75,80,70,65,75,90,1,"Cuando ataque, seguirá chupando energía de su
víctima, aunque pese tanto que ya no pueda volar."
43,Oddish,Planta,Veneno,320,45,50,55,75,65,30,1,"Durante el día, se agazapa en el frío subsuelo huyendo
del sol. La luz de la luna le hace crecer mucho."
44,Gloom,Planta,Veneno,395,60,65,70,85,75,40,1,"¡Huele bastante mal! De todas formas, una de cada
mil personas aprecian su fétido olor."
45,Vileplume,Planta,Veneno,490,75,80,85,110,90,50,1,"Cuanto mayores son sus pétalos, más tóxico es su
polen. Le pesa la cabeza y le cuesta mantenerla
erguida."
46,Paras,Bicho,Planta,285,35,70,55,45,55,25,1,"Lleva en el lomo dos setas parásitas llamadas
tochukaso, que crecen con él."
47,Parasect,Bicho,Planta,405,60,95,80,60,80,30,1,"Parasect está dominado por una seta parásita mayor
que él. Dispersa esporas venenosas."
48,Venonat,Bicho,Veneno,305,60,55,50,40,55,45,1,"Sus grandes ojos son en realidad grupos de ojos
diminutos. Por la noche se siente atraído por la luz."
49,Venomoth,Bicho,Veneno,450,70,65,60,90,75,90,1,"Lanza unas escamas que paralizan a cualquiera.
Quien las toque, no podrá ni ponerse de pie."
50,Diglett,Tierra,,265,10,55,25,35,45,95,1,"Vive un metro por debajo del suelo, donde se alimenta
de raíces. También aparece en la superficie."
51,Dugtrio,Tierra,,405,35,80,50,50,70,120,1,"En combate, cava la tierra, se esconde y sale de
repente para golpear a su rival. Nunca se sabe por
dónde puede aparecer."
52,Meowth,Normal,,290,40,45,35,40,40,90,1,"Es de naturaleza nocturna. Le atraen los objetos
brillantes."
53,Persian,Normal,,440,65,70,60,65,65,115,1,"Aunque es muy admirado por el pelo, es difícil de
entrenar como mascota, porque es un poco travieso."
54,Psyduck,Agua,,320,50,52,48,65,50,55,1,"Padece continuamente dolores de cabeza. Cuando
son muy fuertes, empieza a usar misteriosos poderes."
55,Golduck,Agua,,500,80,82,78,95,80,85,1,"Aparece en ríos al anochecer. Puede usar poderes
telequinéticos si su frente brilla misteriosamente."
56,Mankey,Lucha,,305,40,80,35,35,45,70,1,"Es peligroso acercarse si se enfada sin razón aparente,
ya que no distingue entre amigos y enemigos."
57,Primeape,Lucha,,455,65,105,60,60,70,95,1,"Solo se calma cuando nadie está cerca. Llegar a ver
ese momento es realmente difícil."
58,Growlithe,Fuego,,350,55,70,45,70,50,60,1,"Es muy agradable y leal. Para ahuyentar al enemigo,
se pone a ladrar y a dar bocados."
59,Arcanine,Fuego,,555,90,110,80,100,80,95,1,"Un Pokémon muy admirado desde la antigüedad por
su belleza. Corre ágilmente como si tuviera alas."
60,Poliwag,Agua,,300,40,50,40,40,40,90,1,"Tiene una piel extraordinaria, fina y húmeda, que deja
entrever las vísceras que tiene dispuestas en espiral."
61,Poliwhirl,Agua,,385,65,65,65,50,50,90,1,"Capaz de vivir dentro o fuera del agua. Fuera del agua
suda para mantener baboso su cuerpo."
62,Poliwrath,Agua,Lucha,510,90,95,95,70,90,70,1,"Tiene músculos muy desarrollados. Es capaz de nadar
en el océano sin descanso."
63,Abra,Psiquico,,310,25,20,15,105,55,90,1,"Duerme 18 horas al día y mientras lo hace es capaz de
usar una serie de poderes extrasensoriales."
64,Kadabra,Psiquico,,400,40,35,30,120,70,105,1,"Cuando utiliza su poder psíquico, emite poderosas
ondas alfa que pueden destruir dispositivos."
65,Alakazam,Psiquico,,500,55,50,45,135,95,120,1,"Sus neuronas se multiplican continuamente durante su
vida. Por eso, siempre lo recuerda todo."
66,Machop,Lucha,,305,70,80,50,35,35,35,1,"Levanta un Graveler para mantener sus músculos en
forma. Domina todas las artes marciales."
67,Machoke,Lucha,,405,80,100,70,50,60,45,1,"Su musculoso cuerpo es tan fuerte que usa un cinto
antifuerza para controlar sus movimientos."
68,Machamp,Lucha,,505,90,130,80,65,85,55,1,"Tiene cuatro brazos tan bien desarrollados que puede
dar una serie de 1000 puñetazos en cuestión de dos
segundos."
69,Bellsprout,Planta,Veneno,300,50,75,35,70,30,40,1,"Aunque su cuerpo es extremadamente delgado, es
muy rápido a la hora de capturar sus presas."
70,Weepinbell,Planta,Veneno,390,65,90,50,85,45,55,1,"Las hojas que tiene actúan como cuchillas en
combate. Otra de sus armas es el corrosivo fluido
que expulsa."
71,Victreebel,Planta,Veneno,490,80,105,65,100,70,70,1,"Dicen que vive en grandes colonias en el interior de
las junglas, aunque nadie ha podido verificarlo."
72,Tentacool,Agua,Veneno,335,40,40,35,50,100,70,1,"Su cuerpo se compone casi en exclusiva de agua.
Lanza extraños rayos con sus ojos cristalinos."
73,Tentacruel,Agua,Veneno,515,80,70,65,80,120,100,1,"Cuando caza, extiende los cortos tentáculos que tiene
para atrapar e inmovilizar a su presa."
74,Geodude,Roca,Tierra,300,40,80,100,30,30,20,1,"Aparecen en llanos y montañas. Como parecen rocas,
la gente se tropieza con ellos o los pisa."
75,Graveler,Roca,Tierra,390,55,95,115,45,45,35,1,"De naturaleza descuidada y libre, no le importa
dañarse cuando baja rodando montañas."
76,Golem,Roca,Tierra,495,80,120,130,55,65,45,1,"Se lanza montaña abajo y deja un surco desde la cima
hasta el pie. Es mejor mantenerse alejado."
77,Ponyta,Fuego,,410,50,85,55,65,65,90,1,"Cuando nace, apenas puede tenerse en pie. Pero va
fortaleciendo las patas en cuanto empieza a galopar."
78,Rapidash,Fuego,,500,65,100,70,80,80,105,1,"Galopa a casi 240 km por hora. Su crin ardiente
parece una flecha cuando corre."
79,Slowpoke,Agua,Psiquico,315,90,65,65,40,40,15,1,"Descansa ocioso junto al agua. Si algo muerde su
cola, no lo notará en todo el día."
80,Slowbro,Agua,Psiquico,490,95,75,110,100,80,30,1,"Tiene una cola tan apetecible, que el Shellder que va
enganchado a ella no se soltará por nada del mundo."
81,Magnemite,Electrico,Acero,325,25,35,70,95,55,45,1,"Las unidades a los lados de su cuerpo generan
energía antigravitatoria para mantenerlo en el aire."
82,Magneton,Electrico,Acero,465,50,60,95,120,70,70,1,"Lo constituye un grupo de Magnemite. Descarga
potentes ondas magnéticas de alto voltaje."
83,Farfetch'd,Normal,Volador,352,52,65,55,58,62,60,1,"El puerro que lleva es su mejor arma. Suele usarlo
como espada para cortar cosas."
84,Doduo,Normal,Volador,310,35,85,45,35,35,75,1,"Este Pokémon de dos cabezas es el resultado de una
mutación. Cuando corre, puede alcanzar casi 100 km
por hora."
85,Dodrio,Normal,Volador,460,60,110,70,60,60,100,1,"Más vale no perder de vista ninguna de las tres
cabezas. De lo contrario, el número de picotazos
será enorme."
86,Seel,Agua,,325,65,45,55,45,70,45,1,"Este Pokémon vive en icebergs. Nada en el mar y usa
el cuerno de su cabeza para romper el hielo."
87,Dewgong,Agua,Hielo,475,90,70,80,70,95,70,1,"Está recubierto de un luminoso pelaje blanco. Este
Pokémon aumenta su actividad cuando bajan las
temperaturas."
88,Grimer,Veneno,,325,80,80,50,40,50,25,1,"Nace de lodo alterado al filtrarse en el agua los
rayos X reflejados por la Luna. Se alimenta de
sustancias desagradables."
89,Muk,Veneno,,500,105,105,75,65,100,50,1,"Les encanta reunirse en zonas apestosas donde se
acumula el lodo, haciendo su olor más insoportable."
90,Shellder,Agua,,305,30,65,100,45,25,40,1,"La concha lo protege de cualquier tipo de ataque.
Solo es vulnerable cuando se abre."
91,Cloyster,Agua,Hielo,525,50,95,180,85,45,70,1,"A los Cloyster que viven en las fuertes corrientes
marinas les crecen largas y afiladas púas en la concha."
92,Gastly,Fantasma,Veneno,310,30,35,30,100,35,80,1,"Su etéreo cuerpo está hecho de gas. Puede envolver
a un oponente de cualquier tamaño hasta ahogarlo."
93,Haunter,Fantasma,Veneno,405,45,50,45,115,55,95,1,"Cuando tienes la sensación de que te están
observando, seguro que es porque Haunter está
cerca."
94,Gengar,Fantasma,Veneno,500,60,65,60,130,75,110,1,"Se esconde entre las sombras. Se dice que donde
Gengar acecha, la temperatura baja 5 °C."
95,Onix,Roca,Tierra,385,35,45,160,30,45,70,1,"Cava a gran velocidad en busca de comida. Los
túneles que deja son usados por los Diglett."
96,Drowzee,Psiquico,,328,60,48,45,43,90,42,1,"Adormece a sus enemigos y se come sus sueños.
A veces se pone enfermo si come pesadillas."
97,Hypno,Psiquico,,483,85,73,70,73,115,67,1,"Lleva un péndulo en la mano. Una vez, hizo
desaparecer a un niño al que había hipnotizado."
98,Krabby,Agua,,325,30,105,90,25,25,50,1,"Ante el peligro, se camufla con las burbujas que
desprende su boca, para parecer más grande."
99,Kingler,Agua,,475,55,130,115,50,50,75,1,"La pinza tan grande que tiene posee una fuerza de
10 000 caballos de potencia. Pero, por su gran
tamaño, cuesta moverla."
100,Voltorb,Electrico,,330,40,30,50,55,55,100,1,"Fue descubierto cuando se crearon las Poké Balls.
Se dice que tiene algo que ver con ellas."
101,Electrode,Electrico,,480,60,50,70,80,80,140,1,"Explotan a la mínima. Por eso se les tiene mucho
miedo. Estos Pokémon reciben el mote de Bomba Ball."
102,Exeggcute,Planta,Psiquico,325,60,40,80,60,45,40,1,"Estos seis huevos se comunican por telepatía. Si se
separan, se pueden reunir rápidamente."
103,Exeggutor,Planta,Psiquico,520,95,95,85,125,65,55,1,"Sus tres cabezas piensan de forma independiente.
Sin embargo, son amigas y no suelen discutir nunca."
104,Cubone,Tierra,,320,50,50,95,40,50,35,1,"Lleva puesto el cráneo de su madre. Cuando se siente
solo se pone a gritar muy fuerte."
105,Marowak,Tierra,,425,60,80,110,50,80,45,1,"Es pequeño y siempre ha sido muy débil. Cuando
empezó a usar huesos, se volvió más violento."
106,Hitmonlee,Lucha,,455,50,120,53,35,110,87,1,"Encoge y estira las patas a su antojo. Cuando las
estira, es capaz de propinar una buena patada al
enemigo."
107,Hitmonchan,Lucha,,455,50,105,79,35,110,76,1,"Los potentes golpes de sus brazos pueden pulverizar
el hormigón. Descansa tras luchar tres minutos."
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,"Su larga lengua, recubierta de saliva pegajosa, se
pega a todo, por lo que es muy útil."
109,Koffing,Veneno,,340,40,65,95,60,45,35,1,"Tiene forma de globo y es muy ligero. Está compuesto
por gases tóxicos y apesta."
110,Weezing,Veneno,,490,65,90,120,85,70,60,1,"Si uno de los gemelos Koffing se infla, el otro se
desinfla. Mezclan constantemente sus venenosos
gases."
111,Rhyhorn,Tierra,Roca,345,80,85,95,30,30,25,1,"Es muy fuerte, pero no especialmente listo. Es capaz
de derribar rascacielos usando Placaje varias veces."
112,Rhydon,Tierra,Roca,485,105,130,120,45,45,40,1,"La piel le sirve de escudo protector. Puede vivir en
lava líquida a 2000 °C de temperatura."
113,Chansey,Normal,,450,250,5,5,35,105,50,1,"Se dice que reparte felicidad. Se caracteriza por su
compasión y reparte sus huevos entre la gente herida."
114,Tangela,Planta,,435,65,55,115,100,40,60,1,"Se camufla con la multitud de lianas que envuelven su
cuerpo y que no dejan de crecer a lo largo de toda su
vida."
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,"Lleva a su cría en la bolsa de su panza. Solo deja que
su cría salga a jugar cuando no siente peligro."
116,Horsea,Agua,,295,30,40,70,70,25,60,1,"Es famoso por derribar a bichos voladores lanzando
tinta desde la superficie del agua."
117,Seadra,Agua,,440,55,65,95,95,45,85,1,"Las afiladas púas que le recubren el cuerpo se le
erizan y pueden causar el debilitamiento con solo
tocarlo."
118,Goldeen,Agua,,320,45,67,60,35,50,63,1,"Nada a una velocidad de cinco nudos. Si siente
peligro, golpea con su afilado cuerno."
119,Seaking,Agua,,450,80,92,65,65,80,68,1,"En otoño, cuando se reproducen, se les puede ver
nadando con energía por ríos y arroyos."
120,Staryu,Agua,,340,30,45,55,70,55,85,1,"Aunque sus brazos se rompan podrán regenerarse,
siempre y cuando su núcleo siga intacto."
121,Starmie,Agua,Psiquico,520,60,75,85,100,85,115,1,"Su núcleo central brilla con los colores del arcoíris.
Para algunos tiene el valor de una gema."
122,Mr. Mime,Psiquico,Hada,460,40,45,65,100,120,90,1,"Para repeler ataques, solidifica el aire y crea muros
invisibles con emanaciones de sus dedos."
123,Scyther,Bicho,Volador,500,70,110,80,55,80,105,1,"Destroza a su presa con las guadañas que tiene.
No es común que use las alas para volar."
124,Jynx,Hielo,Psiquico,455,65,50,35,115,95,95,1,"Camina moviendo las caderas de forma llamativa.
Puede hacer que la gente baile a su ritmo."
125,Electabuzz,Electrico,,490,65,83,57,95,85,105,1,"Por la superficie de su piel corre la electricidad. En la
oscuridad, su cuerpo se torna blanquecino."
126,Magmar,Fuego,,495,65,95,57,100,85,93,1,"A este Pokémon se lo encontraron cerca de un volcán.
Esta criatura ígnea tiene una temperatura corporal de
unos 1200 °C."
127,Pinsir,Bicho,,500,65,125,100,55,70,85,1,"Atrapa presas con sus pinzas hasta que las parte en
dos. Lanza lejos lo que no puede quebrar."
128,Tauros,Normal,,490,75,100,95,40,70,110,1,"Después de animarse a luchar fustigándose con sus
tres colas, carga a toda velocidad."
129,Magikarp,Agua,,200,20,10,55,15,20,80,1,"No es precisamente rápido ni fuerte. Es el Pokémon
más debilucho y simplón de todos los que hay."
130,Gyarados,Agua,Volador,540,95,125,79,60,100,81,1,"En la literatura antigua se dice que un Gyarados
rebosante de violencia arrasó un poblado."
131,Lapras,Agua,Hielo,535,130,85,80,85,95,60,1,"Son buenos de corazón. Muchos fueron capturados
por ser tan pacíficos. Ahora hay muchos menos."
132,Ditto,Normal,,288,48,48,48,48,48,48,1,"Puede alterar por completo su estructura celular para
emular cualquier objeto que vea."
133,Eevee,Normal,,325,55,55,50,45,65,55,1,"Un extraño Pokémon que se adapta a los entornos
más hostiles gracias a sus diferentes evoluciones."
134,Vaporeon,Agua,,525,130,65,60,110,95,65,1,"Prefiere las bellas costas. Con células parecidas al
agua, podría fundirse en la misma."
135,Jolteon,Electrico,,525,65,65,60,110,95,130,1,"Todos los pelos de su cuerpo se ponen de punta si
empieza a cargarse de electricidad."
136,Flareon,Fuego,,525,65,130,60,95,110,65,1,"Almacena llamas en su cuerpo, que alcanza una
temperatura de 900 °C antes de un combate."
137,Porygon,Normal,,395,65,60,70,85,75,40,1,"Pokémon creado por el hombre tras muchas
investigaciones. Sus habilidades son básicas."
138,Omanyte,Roca,Agua,355,35,40,100,90,55,35,1,"Pokémon prehistórico que vivió en el océano
primordial. Para nadar se valía de sus 10 tentáculos."
139,Omastar,Roca,Agua,495,70,60,125,115,70,55,1,"Tiene los tentáculos tan desarrollados que le sirven de
manos y pies. Con ellos atrapa a su presa y le da un
bocado."
140,Kabuto,Roca,Agua,355,30,80,90,55,45,55,1,"Se cree que habitó las playas hace 300 millones de
años. Se protege con una dura concha."
141,Kabutops,Roca,Agua,495,60,115,105,65,70,80,1,"Repliega sus extremidades en el agua para hacerse
más compacto, y mueve su concha para nadar rápido."
142,Aerodactyl,Roca,Volador,515,80,105,65,60,75,130,1,"Se regeneró a partir de material genético de un
dinosaurio encontrado en ámbar. Cuando vuela emite
escandalosos alaridos."
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,"No se encuentra satisfecho hasta que no se come
400 kg de comida cada día. Cuando acaba de comer,
se queda dormido."
144,Articuno,Hielo,Volador,580,90,85,100,95,125,85,1,"Legendario Pokémon pájaro capaz de generar
ventiscas congelando la humedad del aire."
145,Zapdos,Electrico,Volador,580,90,90,85,125,90,100,1,"Es un legendario pájaro Pokémon. Dicen que aparece
entre las nubes lanzando enormes rayos brillantes."
146,Moltres,Fuego,Volador,580,90,100,90,125,85,90,1,"Es más conocido como el legendario pájaro de fuego.
Con cada aleteo crea brillantes llamas."
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,"Se le llama el Pokémon Espejismo porque son muy
pocos los que lo han visto. Se encontró su muda."
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,"Sus cristalinos orbes parecen darle al Pokémon el
poder de controlar el clima libremente."
149,Dragonite,Dragon,Volador,600,91,134,95,100,100,80,1,"A pesar del tamaño que tiene y de lo pesado que es,
puede volar. Es capaz de dar la vuelta al mundo en
solo 16 horas."
150,Mewtwo,Psiquico,,680,106,110,90,154,90,130,1,"Fue creado por un científico tras años de horribles
experimentos de ingeniería genética."
151,Mew,Psiquico,,600,100,100,100,100,100,100,1,"Varios científicos lo consideran el antecesor de los
Pokémon porque usa todo tipo de movimientos."
152,Chikorita,Planta,,318,45,49,65,49,65,45,2,"Un dulce aroma se desprende de la hoja de su
cabeza. Es dócil y le encanta absorber los rayos
de sol."
153,Bayleef,Planta,,405,60,62,80,63,80,60,2,"Emana un aroma picante de su cuello. El aroma actúa
como estimulante para recuperar salud."
154,Meganium,Planta,,525,80,82,100,83,100,80,2,"El olor que desprenden sus pétalos contiene una
sustancia que calma el instinto agresivo."
155,Cyndaquil,Fuego,,309,39,52,43,60,50,65,2,"Es un Pokémon muy tímido. Si se asusta, las llamas
de su lomo arden con más fuerza."
156,Quilava,Fuego,,405,58,64,58,80,65,80,2,"Antes de empezar a luchar, se gira ante su rival para
alardear del alcance y la fuerza de sus llamas."
157,Typhlosion,Fuego,,534,78,84,78,109,85,100,2,"Si su furia crece, se calienta tanto que cualquier cosa
que toque se prenderá al instante."
158,Totodile,Agua,,314,50,65,64,44,48,43,2,"Es pequeño pero violento. No dudará en morder
cualquier cosa que se mueva cerca."
159,Croconaw,Agua,,405,65,80,80,59,63,58,2,"Si pierde un colmillo, le crecerá otro en su lugar.
Siempre tiene 48 colmillos en su boca."
160,Feraligatr,Agua,,530,85,105,100,79,83,78,2,"Se suele mover lento, pero alcanza velocidades de
vértigo al atacar y morder a sus enemigos."
161,Sentret,Normal,,215,35,46,34,35,45,20,2,"Cuando hace de centinela, avisa del peligro a los
demás, chillando y dando golpes al suelo con la cola."
162,Furret,Normal,,415,85,76,64,45,55,90,2,"Acurruca a sus crías para que duerman. Acorrala a los
enemigos con su enorme velocidad."
163,Hoothoot,Normal,Volador,262,60,30,30,36,56,50,2,"Su percepción del tiempo es exacta. Ocurra lo que
ocurra, lleva el ritmo moviendo la cabeza."
164,Noctowl,Normal,Volador,442,100,50,50,76,96,70,2,"Sus ojos están especialmente adaptados.
Concentran la luz para poder ver en la oscuridad."
165,Ledyba,Bicho,Volador,265,40,20,30,40,80,55,2,"Cuando llega el frío, se reúnen muchos Ledyba de
todas partes para darse calor."
166,Ledian,Bicho,Volador,390,55,35,50,55,110,85,2,"Cuando parpadean las estrellas en el cielo nocturno,
se mece desprendiendo un polvo brillante."
167,Spinarak,Bicho,Veneno,250,40,60,40,40,40,30,2,"Teje su telaraña con hilo fino pero resistente. Espera
pacientemente a que caiga su presa."
168,Ariados,Bicho,Veneno,390,70,90,70,60,60,40,2,"Teje su telaraña desde atrás y desde su boca. Es muy
difícil saber dónde está cada cual."
169,Crobat,Veneno,Volador,535,85,90,80,70,80,130,2,"Es tan silencioso cuando vuela en la oscuridad con sus
cuatro alas, que cuesta percibirlo cuando se acerca."
170,Chinchou,Agua,Electrico,330,75,38,38,56,56,67,2,"En el oscuro fondo del océano, su único modo de
comunicarse es emitiendo luces parpadeantes."
171,Lanturn,Agua,Electrico,460,125,58,58,76,76,67,2,"La luz de Lanturn se puede ver desde lo más
profundo. Se le llama la Estrella de Alta Mar."
172,Pichu,Electrico,,205,20,40,15,35,35,60,2,"Cuando juegan, se tocan las colas y emiten chispas.
Al parecer, es una prueba de valor."
173,Cleffa,Hada,,218,50,25,28,45,55,15,2,"Por su inusual forma estrellada, la gente cree que
procede de un meteorito que cayó a la tierra."
174,Igglybuff,Normal,Hada,210,90,30,15,40,20,15,2,"Para caminar, en lugar de usar los pies que tiene, opta
por dar botes con su cuerpo redondo y blandito."
175,Togepi,Hada,,245,35,20,65,40,65,20,2,"El cascarón parece estar lleno de alegría. Dicen que
trae buena suerte si es tratado con cariño."
176,Togetic,Hada,Volador,405,55,40,85,80,105,40,2,"Si no está con gente amable, se entristece. Puede
flotar en el aire sin mover las alas."
177,Natu,Psiquico,Volador,320,40,50,45,70,45,70,2,"Va dando saltitos porque sus alas no han crecido lo
suficiente. Siempre está pendiente de algo."
178,Xatu,Psiquico,Volador,470,65,75,70,95,70,95,2,"Cuando se pone a meditar al amanecer, pierde la
noción del tiempo. Puede pasarse así todo el día."
179,Mareep,Electrico,,280,55,40,40,65,45,35,2,"Su pelaje lanudo dobla su volumen al acumular
electricidad estática. Tocarlo puede dar calambre."
180,Flaaffy,Electrico,,365,70,55,55,80,60,45,2,"Su esponjosa lana almacena electricidad. Su piel
gomosa evita que sea electrocutado."
181,Ampharos,Electrico,,510,90,75,85,115,90,55,2,"La punta de su cola reluce brillantemente y puede ser
vista desde lejos. Es usado como faro."
182,Bellossom,Planta,,490,75,80,95,90,100,50,2,"Los Bellossom suelen reunirse para bailar. Dicen que
sus danzas son un ritual para invocar al sol."
183,Marill,Agua,Hada,250,70,20,50,20,50,40,2,"Tiene una piel que repele el agua. De hecho, puede
pasarse horas jugando en el agua sin mojarse."
184,Azumarill,Agua,Hada,420,100,50,80,60,80,50,2,"Sus largas orejas son sensores que pueden percibir
movimientos de seres vivos en el lecho del río."
185,Sudowoodo,Roca,,410,70,100,115,30,65,30,2,"Aunque pretende ser un árbol, en su composición se
parece más a una roca que a una planta."
186,Politoed,Agua,,500,90,75,75,90,100,70,2,"Cuando tres o más de estos se juntan, emiten un
sonido muy fuerte parecido a un bramido."
187,Hoppip,Planta,Volador,250,35,35,40,35,55,50,2,"Su cuerpo es tan ligero, que debe agarrarse bien al
suelo con las patas para no irse con el viento."
